name,company,for_gender,rating,number_votes,main accords,top notes,middle notes,base notes,longevity,sillage,gender_vote,price value
Jubilation XXV Man,Amouage,for men,4.46,3792.0,"{'amber': 100.0, 'sweet': 79.1774, 'warm spicy': 66.3056, 'woody': 65.2735, 'fruity': 61.4572, 'balsamic': 60.515, 'oud': 52.0633, 'fresh spicy': 51.8068, 'aromatic': 51.3974, 'honey': 48.5715}","['Blackberry', 'Olibanum', 'Orange', 'Labdanum', 'Coriander', 'Tarragon']","['Honey', 'Guaiac Wood', 'Cinnamon', 'Bay Leaf', 'Clove', 'Rose', 'Orchid', 'Celery Seeds']","['Opoponax', 'Agarwood (Oud)', 'Myrrh', 'Patchouli', 'Cedar', 'Ambergris', 'Immortelle', 'Musk', 'Oakmoss']","{'very weak': 84, 'weak': 90, 'moderate': 344, 'long lasting': 773, 'eternal': 489}","{'intimate': 233, 'moderate': 694, 'strong': 842, 'enormous': 412}","{'female': 1, 'more female': 0, 'unisex': 28, 'more male': 86, 'male': 114}","{'way overpriced': 27, 'overpriced': 51, 'ok': 71, 'good value': 42, 'great value': 15}"
Viva la Juicy,Juicy Couture,for women,3.99,8147.0,"{'sweet': 100.0, 'white floral': 97.2473, 'caramel': 83.3054, 'fruity': 81.9527, 'vanilla': 68.4143, 'citrus': 64.4097, 'woody': 61.12, 'lactonic': 55.6589, 'powdery': 50.3047, 'amber': 49.4771}","['Mandarin Orange', 'Wild berries']","['Honeysuckle', 'Gardenia', 'Jasmine']","['Caramel', 'Vanilla', 'Praline', 'Amber', 'Sandalwood']","{'very weak': 222, 'weak': 374, 'moderate': 897, 'long lasting': 276, 'eternal': 128}","{'intimate': 505, 'moderate': 1029, 'strong': 374, 'enormous': 237}","{'female': 147, 'more female': 13, 'unisex': 2, 'more male': 0, 'male': 0}","{'way overpriced': 6, 'overpriced': 21, 'ok': 46, 'good value': 52, 'great value': 10}"
Gypsy Water,Byredo,for women and men,4.04,2880.0,"{'woody': 100.0, 'aromatic': 86.9021, 'fresh spicy': 70.7019, 'citrus': 64.7264, 'powdery': 60.292, 'amber': 57.8012, 'vanilla': 55.8738, 'balsamic': 55.1796, 'warm spicy': 52.6305, 'smoky': 44.1964}","['Juniper', 'Lemon', 'Bergamot', 'Pepper']","['Pine needles', 'Incense', 'Orris Root']","['Sandalwood', 'Vanilla', 'Amber']","{'very weak': 130, 'weak': 180, 'moderate': 321, 'long lasting': 128, 'eternal': 71}","{'intimate': 439, 'moderate': 364, 'strong': 200, 'enormous': 220}","{'female': 19, 'more female': 32, 'unisex': 127, 'more male': 11, 'male': 4}","{'way overpriced': 29, 'overpriced': 83, 'ok': 46, 'good value': 6, 'great value': 4}"
Allure Homme Edition Blanche,Chanel,for men,4.41,4833.0,"{'citrus': 100.0, 'aromatic': 63.4985, 'vanilla': 62.5145, 'woody': 57.3837, 'powdery': 51.8014, 'soft spicy': 46.6631, 'sweet': 45.1033, 'musky': 44.4718}",[],"['Sicilian Lemon', 'Madagascar Vanilla', 'Pink Pepper', 'Calabrian bergamot', 'Sandalwood', 'Tonka Bean', 'Tahitian Vetiver', 'Musk', 'Amber', 'Cedar']",[],"{'very weak': 117, 'weak': 169, 'moderate': 770, 'long lasting': 562, 'eternal': 137}","{'intimate': 344, 'moderate': 1035, 'strong': 404, 'enormous': 272}","{'female': 0, 'more female': 1, 'unisex': 34, 'more male': 49, 'male': 25}","{'way overpriced': 8, 'overpriced': 48, 'ok': 34, 'good value': 4, 'great value': 1}"
Fancy,Jessica Simpson,for women,4.07,4218.0,"{'sweet': 100.0, 'fruity': 97.4711, 'caramel': 88.5249, 'vanilla': 76.7103, 'powdery': 59.6933, 'almond': 56.7656, 'white floral': 49.9448, 'amber': 47.2651, 'fresh': 46.6044, 'nutty': 46.0593}","['Pear', 'Apricot', 'Red Berries']","['Caramel', 'Almond', 'Gardenia', 'Jasmine']","['Vanilla', 'Amber', 'Sandalwood']","{'very weak': 66, 'weak': 82, 'moderate': 344, 'long lasting': 486, 'eternal': 161}","{'intimate': 152, 'moderate': 648, 'strong': 366, 'enormous': 242}","{'female': 108, 'more female': 2, 'unisex': 2, 'more male': 0, 'male': 0}","{'way overpriced': 0, 'overpriced': 3, 'ok': 10, 'good value': 50, 'great value': 60}"
Amouage Lyric Man,Amouage,for men,4.2,2315.0,"{'rose': 100.0, 'citrus': 88.9498, 'musky': 66.0479, 'woody': 63.9731, 'powdery': 62.3226, 'warm spicy': 61.4083, 'amber': 60.363, 'floral': 55.3828, 'aromatic': 52.9281, 'fresh spicy': 52.1108}","['Lime', 'Bergamot']","['Rose', 'Angelica', 'Ginger', 'Saffron', 'Orange Blossom', 'Nutmeg', 'Galbanum']","['Musk', 'Incense', 'Pine Tree', 'Sandalwood', 'Vanilla']","{'very weak': 38, 'weak': 45, 'moderate': 107, 'long lasting': 304, 'eternal': 580}","{'intimate': 89, 'moderate': 280, 'strong': 442, 'enormous': 521}","{'female': 6, 'more female': 11, 'unisex': 68, 'more male': 58, 'male': 16}","{'way overpriced': 9, 'overpriced': 18, 'ok': 51, 'good value': 31, 'great value': 20}"
Molecule 02,Escentric Molecules,for women and men,4.0,2127.0,"{'amber': 100.0, 'musky': 72.905}",[],['Ambroxan'],[],"{'very weak': 101, 'weak': 67, 'moderate': 168, 'long lasting': 164, 'eternal': 206}","{'intimate': 278, 'moderate': 258, 'strong': 260, 'enormous': 241}","{'female': 14, 'more female': 3, 'unisex': 97, 'more male': 8, 'male': 3}","{'way overpriced': 24, 'overpriced': 45, 'ok': 32, 'good value': 8, 'great value': 2}"
Escentric 02,Escentric Molecules,for women and men,3.99,2643.0,"{'amber': 100.0, 'musky': 87.6077, 'woody': 77.3835, 'iris': 61.5538, 'powdery': 53.0396, 'violet': 45.7769}",[],"['Ambroxan', 'Iso E Super', 'iris', 'Jasmine']",[],"{'very weak': 73, 'weak': 102, 'moderate': 210, 'long lasting': 238, 'eternal': 259}","{'intimate': 223, 'moderate': 350, 'strong': 334, 'enormous': 334}","{'female': 17, 'more female': 6, 'unisex': 86, 'more male': 12, 'male': 9}","{'way overpriced': 14, 'overpriced': 28, 'ok': 48, 'good value': 13, 'great value': 1}"
Jasmin Noir,Bvlgari,for women,3.969999999999999,6640.0,"{'white floral': 100.0, 'almond': 60.1022, 'sweet': 58.8506, 'amber': 52.4737, 'woody': 51.221, 'soft spicy': 50.6706, 'nutty': 48.0613, 'fruity': 45.0511, 'vanilla': 44.8669, 'lactonic': 44.6957}","['Gardenia', 'Green Notes']","['Jasmine Sambac', 'Almond']","['Licorice', 'Tonka Bean', 'Precious Woods', 'Amber', 'Musk', 'Patchouli']","{'very weak': 138, 'weak': 160, 'moderate': 546, 'long lasting': 487, 'eternal': 222}","{'intimate': 362, 'moderate': 709, 'strong': 473, 'enormous': 252}","{'female': 36, 'more female': 20, 'unisex': 5, 'more male': 1, 'male': 0}","{'way overpriced': 1, 'overpriced': 5, 'ok': 36, 'good value': 8, 'great value': 3}"
White Patchouli,Tom Ford,for women,3.82,4239.0,"{'patchouli': 100.0, 'woody': 98.8565, 'floral': 88.6914, 'white floral': 87.8705, 'warm spicy': 73.8868, 'aromatic': 72.0898, 'rose': 67.675, 'balsamic': 62.1085, 'earthy': 58.0, 'fresh': 56.35}","['White Flowers', 'Coriander', 'Peony', 'Bergamot']","['Ambrette (Musk Mallow)', 'Rose', 'Jasmine']","['Patchouli', 'Incense', 'Woody Notes']","{'very weak': 58, 'weak': 70, 'moderate': 235, 'long lasting': 415, 'eternal': 221}","{'intimate': 161, 'moderate': 463, 'strong': 446, 'enormous': 286}","{'female': 29, 'more female': 19, 'unisex': 51, 'more male': 4, 'male': 3}","{'way overpriced': 7, 'overpriced': 22, 'ok': 38, 'good value': 8, 'great value': 3}"
Five O'Clock Au Gingembre,Serge Lutens,for women and men,4.15,2955.0,"{'warm spicy': 100.0, 'woody': 57.5671, 'fresh spicy': 56.491, 'cinnamon': 54.6792, 'citrus': 52.711, 'fresh': 48.7163, 'green': 46.4385, 'honey': 44.9608}","['Tea', 'Bergamot']","['Ginger', 'Cinnamon', 'Woodsy Notes']","['Pepper', 'Honey', 'Amber', 'Cacao', 'Patchouli']","{'very weak': 41, 'weak': 68, 'moderate': 301, 'long lasting': 210, 'eternal': 57}","{'intimate': 175, 'moderate': 448, 'strong': 161, 'enormous': 191}","{'female': 6, 'more female': 5, 'unisex': 76, 'more male': 11, 'male': 1}","{'way overpriced': 1, 'overpriced': 15, 'ok': 42, 'good value': 16, 'great value': 2}"
Amouage Lyric Woman,Amouage,for women,4.14,2807.0,"{'warm spicy': 100.0, 'woody': 82.0305, 'rose': 69.0229, 'amber': 62.6013, 'aromatic': 60.2619, 'powdery': 58.3519, 'balsamic': 51.0325, 'smoky': 49.273, 'musky': 49.2396, 'cinnamon': 47.3993}","['Cardamom', 'Cinnamon', 'Ginger', 'Bergamot']","['Rose', 'Geranium', 'Ylang-Ylang', 'Angelica', 'Orris Root', 'Jasmine']","['Incense', 'Sandalwood', 'Musk', 'Woodsy Notes', 'Tonka Bean', 'Patchouli', 'Oakmoss', 'Vanilla', 'Vetiver']","{'very weak': 58, 'weak': 52, 'moderate': 147, 'long lasting': 294, 'eternal': 184}","{'intimate': 128, 'moderate': 339, 'strong': 336, 'enormous': 252}","{'female': 38, 'more female': 27, 'unisex': 28, 'more male': 1, 'male': 0}","{'way overpriced': 12, 'overpriced': 20, 'ok': 25, 'good value': 5, 'great value': 3}"
Aqva Pour Homme Marine,Bvlgari,for men,4.06,2783.0,"{'aquatic': 100.0, 'citrus': 75.3109, 'marine': 66.2329, 'aromatic': 65.8662, 'fresh': 56.7782, 'fresh spicy': 49.7259, 'woody': 47.6506}","['Grapefruit', 'Neroli', 'Mandarin Orange', 'Petitgrain']","['Water Notes', 'Seaweed', 'Rosemary']","['Virginia Cedar', 'Amber']","{'very weak': 62, 'weak': 111, 'moderate': 544, 'long lasting': 246, 'eternal': 82}","{'intimate': 198, 'moderate': 659, 'strong': 206, 'enormous': 172}","{'female': 0, 'more female': 2, 'unisex': 22, 'more male': 40, 'male': 37}","{'way overpriced': 1, 'overpriced': 7, 'ok': 44, 'good value': 25, 'great value': 7}"
Elixir Charnel Gourmand Coquin,Guerlain,for women,4.42,1581.0,"{'warm spicy': 100.0, 'cacao': 82.4805, 'chocolate': 66.3243, 'sweet': 65.2853, 'vanilla': 59.3093, 'rum': 57.9159}",[],"['Dark Chocolate', 'Cacao', 'Rum', 'Vanilla', 'Spices', 'Rose', 'Pepper']",[],"{'very weak': 56, 'weak': 44, 'moderate': 82, 'long lasting': 169, 'eternal': 97}","{'intimate': 114, 'moderate': 227, 'strong': 170, 'enormous': 201}","{'female': 26, 'more female': 10, 'unisex': 6, 'more male': 0, 'male': 0}","{'way overpriced': 8, 'overpriced': 14, 'ok': 14, 'good value': 0, 'great value': 1}"
Sensuous,Estée Lauder,for women,3.94,5060.0,"{'woody': 100.0, 'honey': 60.7572, 'amber': 53.2345, 'warm spicy': 53.041, 'fresh spicy': 52.7831, 'powdery': 52.4328, 'white floral': 52.0308, 'floral': 51.7149, 'sweet': 50.6037}","['Lily', 'Jasmine', 'Magnolia']","['Woodsy Notes', 'Amber', 'Ylang-Ylang']","['Sandalwood', 'white honey', 'Pepper', 'Mandarin Orange']","{'very weak': 73, 'weak': 99, 'moderate': 368, 'long lasting': 385, 'eternal': 156}","{'intimate': 205, 'moderate': 620, 'strong': 282, 'enormous': 200}","{'female': 42, 'more female': 15, 'unisex': 5, 'more male': 0, 'male': 0}","{'way overpriced': 0, 'overpriced': 1, 'ok': 21, 'good value': 25, 'great value': 2}"
Les Exclusifs de Chanel Sycomore,Chanel,for women and men,4.37,2679.0,"{'woody': 100.0, 'aromatic': 90.0473, 'earthy': 55.0177, 'fresh spicy': 50.7603, 'tobacco': 48.0774}",[],"['Vetiver', 'Tobacco', 'Cypress', 'Juniper', 'Sandalwood', 'Aldehydes', 'Pink Pepper', 'Spicy Notes', 'Violet']",[],"{'very weak': 63, 'weak': 58, 'moderate': 232, 'long lasting': 252, 'eternal': 94}","{'intimate': 170, 'moderate': 434, 'strong': 217, 'enormous': 210}","{'female': 5, 'more female': 2, 'unisex': 31, 'more male': 16, 'male': 2}","{'way overpriced': 7, 'overpriced': 11, 'ok': 22, 'good value': 2, 'great value': 2}"
Pulp,Byredo,for women and men,3.84,2632.0,"{'fruity': 100.0, 'sweet': 63.0583, 'woody': 52.1175, 'floral': 45.1398}","['Black Currant', 'Bergamot', 'Cardamon']","['Fig', 'Red Apple', 'Tiare Flower']","['Praline', 'Peach Blossom', 'Cedar']","{'very weak': 40, 'weak': 57, 'moderate': 190, 'long lasting': 283, 'eternal': 155}","{'intimate': 89, 'moderate': 285, 'strong': 375, 'enormous': 247}","{'female': 25, 'more female': 14, 'unisex': 45, 'more male': 5, 'male': 3}","{'way overpriced': 17, 'overpriced': 29, 'ok': 15, 'good value': 4, 'great value': 3}"
Mukhallat,Montale,for women and men,3.56,2109.0,"{'fruity': 100.0, 'sweet': 89.4934, 'vanilla': 72.1846, 'almond': 68.8625, 'balsamic': 67.7024, 'amber': 55.0998, 'nutty': 53.3175, 'powdery': 52.9379, 'musky': 50.565}",[],"['Big Strawberry', 'Vanilla', 'Almond', 'Peru Balsam', 'Musk']",[],"{'very weak': 34, 'weak': 41, 'moderate': 92, 'long lasting': 199, 'eternal': 270}","{'intimate': 106, 'moderate': 213, 'strong': 247, 'enormous': 299}","{'female': 48, 'more female': 10, 'unisex': 12, 'more male': 0, 'male': 0}","{'way overpriced': 5, 'overpriced': 18, 'ok': 26, 'good value': 7, 'great value': 5}"
Un Jardin Apres la Mousson,Hermès,for women and men,3.98,3208.0,"{'warm spicy': 100.0, 'aromatic': 65.5312, 'fresh spicy': 57.135, 'fresh': 49.8276}",[],"['Ginger', 'Ginger flower', 'Cardamom', 'Pepper', 'Coriander', 'Water Notes', 'Citruses', 'Vetiver', 'Floral Notes']",[],"{'very weak': 55, 'weak': 135, 'moderate': 292, 'long lasting': 152, 'eternal': 60}","{'intimate': 186, 'moderate': 414, 'strong': 187, 'enormous': 158}","{'female': 4, 'more female': 3, 'unisex': 41, 'more male': 6, 'male': 1}","{'way overpriced': 2, 'overpriced': 11, 'ok': 23, 'good value': 9, 'great value': 1}"
Citizen Queen,Juliette Has A Gun,for women,4.08,2021.0,"{'powdery': 100.0, 'amber': 73.8834, 'iris': 62.7221, 'leather': 58.1418, 'musky': 56.7319, 'rose': 51.1084, 'aldehydic': 50.7009, 'animalic': 49.6801, 'violet': 46.361}","['Leather', 'Aldehydes', 'Bergamot']","['iris', 'Rose', 'Immortelle', 'Tuberose', 'Orange Blossom']","['Powdery Notes', 'Musk', 'Labdanum', 'French labdanum', 'resins', 'Vanilla', 'Ambroxan']","{'very weak': 33, 'weak': 43, 'moderate': 119, 'long lasting': 211, 'eternal': 199}","{'intimate': 90, 'moderate': 242, 'strong': 290, 'enormous': 254}","{'female': 32, 'more female': 13, 'unisex': 7, 'more male': 0, 'male': 0}","{'way overpriced': 2, 'overpriced': 14, 'ok': 21, 'good value': 6, 'great value': 3}"
The Beat,Burberry,for women,3.94,3983.0,"{'citrus': 100.0, 'green': 76.9189, 'musky': 76.2126, 'woody': 74.2639, 'powdery': 74.1693, 'aromatic': 71.1045, 'iris': 64.2433, 'soft spicy': 61.8248, 'warm spicy': 60.8378, 'fresh spicy': 60.2198}","['Pink Pepper', 'Mandarin Orange', 'Cardamom', 'Bergamot']","['Tea', 'iris', 'Bellflower']","['White Musk', 'Vetiver', 'Cedar']","{'very weak': 45, 'weak': 99, 'moderate': 377, 'long lasting': 275, 'eternal': 76}","{'intimate': 151, 'moderate': 535, 'strong': 196, 'enormous': 142}","{'female': 39, 'more female': 7, 'unisex': 5, 'more male': 0, 'male': 1}","{'way overpriced': 2, 'overpriced': 2, 'ok': 12, 'good value': 18, 'great value': 8}"
Lalique White,Lalique,for men,4.13,2136.0,"{'fresh spicy': 100.0, 'citrus': 71.9817, 'aromatic': 71.4552, 'warm spicy': 65.9429, 'woody': 60.753, 'powdery': 54.0936, 'green': 46.6605}","['Lemon Leaf', 'Bergamot', 'Tamarind', 'elemi']","['White Pepper', 'Nutmeg', 'Cardamom', 'Violet']","['Cedar', 'Musk', 'Oakmoss', 'Amber']","{'very weak': 77, 'weak': 165, 'moderate': 510, 'long lasting': 197, 'eternal': 61}","{'intimate': 315, 'moderate': 593, 'strong': 184, 'enormous': 165}","{'female': 0, 'more female': 1, 'unisex': 22, 'more male': 33, 'male': 28}","{'way overpriced': 2, 'overpriced': 6, 'ok': 12, 'good value': 32, 'great value': 27}"
Dark Amber & Ginger Lily,Jo Malone London,for women,4.2,1396.0,"{'warm spicy': 100.0, 'amber': 66.5691, 'woody': 64.0966, 'floral': 55.7799, 'fresh': 47.1391, 'animalic': 46.9316, 'aromatic': 46.8754, 'balsamic': 46.4258, 'powdery': 46.3739}","['Ginger', 'Black Cardamom', 'Pink Pepper']","['Water Lily', 'Orchid', 'Jasmine', 'Rose']","['Sandalwood', 'Black Amber', 'Kyara Incense (olibanum)', 'Patchouli', 'Leather']","{'very weak': 37, 'weak': 49, 'moderate': 170, 'long lasting': 86, 'eternal': 39}","{'intimate': 93, 'moderate': 230, 'strong': 127, 'enormous': 99}","{'female': 5, 'more female': 10, 'unisex': 30, 'more male': 2, 'male': 0}","{'way overpriced': 8, 'overpriced': 11, 'ok': 20, 'good value': 0, 'great value': 0}"
John Galliano,John Galliano,for women,4.11,3139.0,"{'amber': 100.0, 'powdery': 91.7452, 'violet': 74.1772, 'woody': 64.8402, 'smoky': 63.8303, 'musky': 62.6744, 'floral': 61.8979, 'fresh': 60.4183, 'iris': 57.7288, 'rose': 57.6594}","['Aldehydes', 'Angelica', 'Bergamot']","['Violet', 'iris', 'Rose', 'Lavender', 'Peony']","['Incense', 'Amber', 'Patchouli', 'Musk', 'Virginia Cedar']","{'very weak': 36, 'weak': 52, 'moderate': 143, 'long lasting': 316, 'eternal': 296}","{'intimate': 94, 'moderate': 310, 'strong': 387, 'enormous': 286}","{'female': 24, 'more female': 11, 'unisex': 15, 'more male': 0, 'male': 0}","{'way overpriced': 1, 'overpriced': 1, 'ok': 9, 'good value': 10, 'great value': 19}"
Acqua di parma Blue Mediterraneo - Mirto di Panarea,Acqua di Parma,for women and men,4.16,1263.0,"{'aromatic': 100.0, 'fresh spicy': 79.5341, 'citrus': 70.1594, 'herbal': 57.4441, 'woody': 50.8686, 'marine': 46.5708}","['Myrtle', 'Lemon', 'Bergamot', 'Basil']","['Sea Notes', 'Jasmine', 'Rose']","['Juniper', 'Cedar', 'Mastic or Lentisque', 'Amber']","{'very weak': 42, 'weak': 69, 'moderate': 203, 'long lasting': 56, 'eternal': 25}","{'intimate': 120, 'moderate': 249, 'strong': 95, 'enormous': 85}","{'female': 1, 'more female': 5, 'unisex': 34, 'more male': 10, 'male': 4}","{'way overpriced': 5, 'overpriced': 9, 'ok': 15, 'good value': 12, 'great value': 2}"
Cuba Jungle Tiger,Cuba Paris,for women,3.93,148.0,"{'floral': 100.0, 'woody': 88.075, 'citrus': 77.0111, 'violet': 71.3284, 'powdery': 66.2485, 'earthy': 59.2743, 'iris': 59.2743, 'green': 54.7971, 'musky': 51.0947, 'fresh spicy': 48.2534}","['Magnolia', 'iris', 'Green Mandarin']","['Violet', 'Hyacinth']","['Cashmere Wood', 'Vetiver']","{'very weak': 4, 'weak': 17, 'moderate': 25, 'long lasting': 16, 'eternal': 4}","{'intimate': 14, 'moderate': 42, 'strong': 18, 'enormous': 22}","{'female': 5, 'more female': 1, 'unisex': 3, 'more male': 0, 'male': 1}","{'way overpriced': 0, 'overpriced': 0, 'ok': 0, 'good value': 1, 'great value': 8}"
Musc Noir For Her,Narciso Rodriguez,for women,3.91,108.0,"{'musky': 100.0, 'powdery': 98.4806, 'fruity': 77.7519, 'sweet': 59.5194, 'vanilla': 58.1085, 'almond': 50.0775, 'leather': 48.9923}",['Plum'],"['Musk', 'Heliotrope']",['Suede'],"{'very weak': 5, 'weak': 6, 'moderate': 14, 'long lasting': 18, 'eternal': 2}","{'intimate': 24, 'moderate': 18, 'strong': 5, 'enormous': 1}","{'female': 38, 'more female': 9, 'unisex': 6, 'more male': 0, 'male': 3}","{'way overpriced': 3, 'overpriced': 7, 'ok': 22, 'good value': 5, 'great value': 2}"
Molecule 04,Escentric Molecules,for women and men,3.52,651.0,"{'woody': 100.0, 'powdery': 65.0, 'warm spicy': 58.0}",[],['Sandalwood'],[],"{'very weak': 37, 'weak': 15, 'moderate': 28, 'long lasting': 46, 'eternal': 127}","{'intimate': 65, 'moderate': 92, 'strong': 101, 'enormous': 124}","{'female': 2, 'more female': 3, 'unisex': 39, 'more male': 2, 'male': 0}","{'way overpriced': 7, 'overpriced': 15, 'ok': 11, 'good value': 5, 'great value': 1}"
Laguna,Salvador Dali,for women,3.75,4967.0,"{'sweet': 100.0, 'fruity': 86.3593, 'citrus': 85.5506, 'vanilla': 81.6802, 'woody': 77.1609, 'powdery': 68.7595, 'coconut': 62.6476, 'aromatic': 55.7189, 'tropical': 55.6904, 'balsamic': 52.0906}","['Pineapple', 'Moroccan Lemon', 'Grapefruit', 'Peach', 'Galbanum Leaf', 'Plum', 'Mandarin Orange', 'Raspberry']","['Italian Iris', 'Brazilian Rosewood', 'Jasmine', 'Lily-of-the-Valley', 'Egyptian Rose']","['Coconut', 'Vanilla', 'Madagascar Sandalwood', 'Tonka Bean', 'Patchouli', 'Musk', 'Amber', 'Cedar']","{'very weak': 76, 'weak': 161, 'moderate': 550, 'long lasting': 240, 'eternal': 94}","{'intimate': 242, 'moderate': 689, 'strong': 244, 'enormous': 188}","{'female': 39, 'more female': 21, 'unisex': 31, 'more male': 1, 'male': 0}","{'way overpriced': 2, 'overpriced': 1, 'ok': 15, 'good value': 29, 'great value': 38}"
White Suede,Tom Ford,for women,4.23,2381.0,"{'musky': 100.0, 'powdery': 79.2655, 'leather': 72.7205, 'warm spicy': 58.0253, 'amber': 57.1783, 'white floral': 56.6727, 'woody': 52.0966, 'fresh': 49.4926, 'aromatic': 48.9395, 'green': 47.647}","['Thyme', 'Tea']","['Lily-of-the-Valley', 'Saffron', 'Rose']","['Suede', 'Musk', 'Sandalwood', 'Amber', 'Olibanum']","{'very weak': 49, 'weak': 90, 'moderate': 254, 'long lasting': 148, 'eternal': 88}","{'intimate': 208, 'moderate': 349, 'strong': 186, 'enormous': 198}","{'female': 27, 'more female': 22, 'unisex': 52, 'more male': 3, 'male': 3}","{'way overpriced': 18, 'overpriced': 28, 'ok': 30, 'good value': 2, 'great value': 3}"
White Linen,Estée Lauder,for women,3.73,2715.0,"{'floral': 100.0, 'fresh': 84.047, 'woody': 82.9914, 'aldehydic': 80.7593, 'earthy': 70.6546, 'powdery': 65.1376, 'white floral': 60.7717, 'green': 60.4348, 'aromatic': 56.1447, 'iris': 54.9318}","['Aldehydes', 'Lemon', 'Peach']","['Hyacinth', 'Carnation', 'Lily-of-the-Valley', 'Rose', 'Lilac', 'Jasmine', 'iris', 'Orris', 'Violet', 'Ylang-Ylang', 'Orchid']","['Oakmoss', 'Vetiver', 'Cedar', 'Sandalwood', 'Benzoin', 'Honey', 'Amber', 'Tonka Bean']","{'very weak': 21, 'weak': 28, 'moderate': 135, 'long lasting': 227, 'eternal': 113}","{'intimate': 54, 'moderate': 245, 'strong': 223, 'enormous': 138}","{'female': 20, 'more female': 12, 'unisex': 17, 'more male': 0, 'male': 0}","{'way overpriced': 2, 'overpriced': 5, 'ok': 18, 'good value': 7, 'great value': 5}"
Champai,Holistick,for women and men,5.0,2.0,"{'floral': 100.0, 'patchouli': 100.0, 'woody': 72.0, 'warm spicy': 65.0, 'earthy': 58.0, 'sweet': 58.0, 'balsamic': 51.0}",[],"['Champaca', 'Patchouli']",[],"{'very weak': 0, 'weak': 0, 'moderate': 0, 'long lasting': 0, 'eternal': 1}","{'intimate': 0, 'moderate': 0, 'strong': 1, 'enormous': 0}","{'female': 0, 'more female': 0, 'unisex': 1, 'more male': 0, 'male': 0}","{'way overpriced': 0, 'overpriced': 0, 'ok': 0, 'good value': 0, 'great value': 1}"
Bare Vanilla,Victoria's Secret,for women,4.42,198.0,"{'vanilla': 100.0, 'powdery': 70.6709, 'woody': 56.2279, 'musky': 52.9494, 'sweet': 44.0}",[],"['Vanilla', 'Cashmeran']",[],"{'very weak': 12, 'weak': 21, 'moderate': 46, 'long lasting': 14, 'eternal': 13}","{'intimate': 22, 'moderate': 49, 'strong': 23, 'enormous': 31}","{'female': 42, 'more female': 4, 'unisex': 3, 'more male': 0, 'male': 0}","{'way overpriced': 1, 'overpriced': 4, 'ok': 3, 'good value': 21, 'great value': 15}"
La Nuit de l'Homme,Yves Saint Laurent,for men,4.44,12256.0,"{'aromatic': 100.0, 'warm spicy': 86.2226, 'lavender': 68.603, 'fresh spicy': 63.5614, 'woody': 63.419200000000004, 'citrus': 49.2615}",['Cardamom'],"['Lavender', 'Virginia Cedar', 'Bergamot']","['Vetiver', 'Caraway']","{'very weak': 355, 'weak': 516, 'moderate': 2023, 'long lasting': 1844, 'eternal': 306}","{'intimate': 952, 'moderate': 3004, 'strong': 1039, 'enormous': 441}","{'female': 7, 'more female': 4, 'unisex': 63, 'more male': 249, 'male': 310}","{'way overpriced': 45, 'overpriced': 112, 'ok': 304, 'good value': 101, 'great value': 14}"
D&G Anthology L'Imperatrice 3,Dolce&Gabbana,for women,3.8,12420.0,"{'fruity': 100.0, 'ozonic': 88.7274, 'aquatic': 85.7107, 'green': 52.0946, 'sweet': 51.0796, 'fresh': 49.8669, 'tropical': 49.859, 'aromatic': 46.1652, 'musky': 44.0917}","['Kiwi', 'Rhuburb', 'Pink Pepper']","['Watermelon', 'Cyclamen', 'Jasmine']","['Lemon Tree', 'Musk', 'Sandalwood']","{'very weak': 326, 'weak': 686, 'moderate': 1553, 'long lasting': 550, 'eternal': 194}","{'intimate': 714, 'moderate': 1893, 'strong': 646, 'enormous': 428}","{'female': 283, 'more female': 28, 'unisex': 15, 'more male': 0, 'male': 1}","{'way overpriced': 7, 'overpriced': 29, 'ok': 113, 'good value': 116, 'great value': 41}"
Bal d'Afrique,Byredo,for women and men,4.16,5054.0,"{'aromatic': 100.0, 'citrus': 94.76, 'woody': 81.1391, 'floral': 66.7281, 'fruity': 60.8038, 'fresh spicy': 59.9176, 'white floral': 59.9099, 'powdery': 58.8489, 'sweet': 52.8826, 'earthy': 50.8062}","['Amalfi Lemon', 'Tagetes', 'Black Currant', 'Bergamot', 'African Orange flower']","['Violet', 'Cyclamen', 'Jasmine']","['Vetiver', 'Amber', 'Musk', 'Virginia Cedar']","{'very weak': 156, 'weak': 273, 'moderate': 676, 'long lasting': 357, 'eternal': 138}","{'intimate': 429, 'moderate': 910, 'strong': 461, 'enormous': 413}","{'female': 80, 'more female': 84, 'unisex': 152, 'more male': 15, 'male': 2}","{'way overpriced': 97, 'overpriced': 97, 'ok': 62, 'good value': 8, 'great value': 7}"
A*Men Pure Malt,Mugler,for men,4.46,5513.0,"{'fruity': 100.0, 'woody': 90.3369, 'whiskey': 82.1251, 'warm spicy': 76.8231, 'sweet': 68.5363, 'amber': 65.0726, 'earthy': 52.3303}","['Fruity Notes', 'Orange', 'Bergamot']","['Malt', 'Whiskey', 'Patchouli', 'Coffee', 'Cedar']","['Peat', 'Vanilla', 'Amber', 'Musk']","{'very weak': 106, 'weak': 134, 'moderate': 585, 'long lasting': 1214, 'eternal': 310}","{'intimate': 250, 'moderate': 1356, 'strong': 832, 'enormous': 336}","{'female': 1, 'more female': 1, 'unisex': 20, 'more male': 72, 'male': 105}","{'way overpriced': 2, 'overpriced': 12, 'ok': 91, 'good value': 66, 'great value': 12}"
